PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC
197908049,1,B2504,KINGDOM OF NORWAY,,,,
197908050,1,B2535,KINGDOM OF THAILAND,,,,
197908051,1,B3285,KOREA DEVELOPMENT BANK,,,,
197908052,1,B3289,KOREA ELECTRIC COMPANY,,,,
197908053,1,B3640,MECCANICA FINANZIARIA INTERNATIONAL SA,,,,
197908054,1,B3691,METALURGICA DE SANTA ANA SA,,,,
197908055,1,B3821,MOTOR IBERICA,,,,
197908056,1,B3870,NATIONAL BANK OF HUNGARY (MAGYAR BEMZETI BANK),,,,
197908057,1,B3920,NATIONALE NEDERLANDEN,,,,
197908058,1,B3920,NATIONALE NEDERLANDEN,,,,
197908059,1,B3920,NATIONALE NEDERLANDEN,,,,
197908060,1,B3586,NEW SOUTH WALES MARITIME SERVICES BOARD,,,,
197908061,1,B4114,OBRASCON,,,,
197908062,1,B4129,OFFICE CHERIFIEN DES PHOSPHATES,,,,
197908063,1,B4181,ORIENT LEASING (HONG KONG) LTD,,HONG KONG,HKG,
197908064,1,B4626,PT RATU SAYANG INTERNATIONAL,,,,
197908065,1,B4260,PAPEIERA NAVARRA SA,,,,
197908066,1,B2001,PAULAR EMPRESA PARA LA INDUSTRIA QUIMICA SA,,,,
197908067,1,B4363,PEMEX,,,,
197908068,1,B4363,PETROLEOS MEXICANOS,PEMEX,,,
197908069,1,B4437,POLIOLEFINAS COLOMBIANAS,,,,
197908070,1,B4486,PRIVREDNA BANKA SARAJEVO-UDREZENA BANKA,,,,
197908071,1,B4492,PRODUCTORA E IMPORTADORA DE PAPEL SA DE CV,PIPSA,,,
197908072,1,B2460,PROVINCE OF NOVA SCOTIA,,,,
197908073,1,B4646,RED NACIONAL DE LOS FERROCARRILES ESPANOLES,RENFE,,,
197908074,1,B2516,REPUBLIC OF ECUADOR,,,,
197908075,1,B2516,REPUBLIC OF ECUADOR,,,,
197908076,1,B2470,REPUBLIC OF FINLAND,,,,
197908077,1,B4677,REPUBLIC OF GABON,,,,
197908078,1,B4708,RIVERS AND WATER SUPPLY COMMISSION,,,,
197908079,1,B4760,RUBY SHIPPING INC,,,,
197908079,2,B4590,QUARTZ SHIPPING INC,,,,
197908080,1,B4786,SACHAN MERCHANT BANKING CORPORATION,,,,
197908081,1,B4828,SAN MIGUEL CORPORATION,,,,
197908082,1,B5095,SOCIEDAD MIXTA SIDERURGIA ARGENTINA,SOMISA,,,
197908083,1,B5171,SOCIETE NIGERIENNE D'ELECTRICITE,,,,
197908084,1,B5197,SONATRACH,,,,
197908085,1,B5197,SONATRACH,,,,
197908086,1,B5197,SONATRACH,,,,
197908087,1,B5197,SONATRACH,,,,
197908088,1,B5576,TOROS INTERNATIONAL LTD,,,,
197908089,1,B0812,UDRUZENA BEOGRADSKA BANKA BEOGRAD,,YUGOSLAVIA,YUG,
197908089,2,B4487,PRIVREDNA BANKA ZAGREB ZAGREB,,YUGOSLAVIA,YUG,
197908089,3,B5886,VOJVODJANSKA BANKA-UDRUZENA BANKA NOVI SAD,,YUGOSLAVIA,YUG,
197908089,4,B3053,INVESTICIONA BANKA TITOGRAD-UDRUZENA,,YUGOSLAVIA,YUG,
197908090,1,B6003,WORLD BANK,,,,
197908091,1,B6003,WORLD BANK,,,,
197909001,1,B0473,AUTOPISTAS CONCESIONARIA ASTUR-LEONESA SA,,,,
197909002,1,B0468,AUTOPISTAS CONCESIONARIA ESPANOLA SA,,,,
197909003,1,B0482,AVIACION Y COMERCIO SA,AVIACO,SPAIN,ESP,
197909004,1,B0605,BANCO HIPOTECARIO,,PANAMA,PAN,
197909005,1,B0631,BANCO NACIONAL DE CREDITO RURAL,,,,
197909006,1,B0638,BANCO NACIONAL DE OBRAS Y SERVICIOS PUBLICOS SA,BANOBRAS,MEXICO,MEX,
197909007,1,B0651,BANCO REAL SA,,,,
197909008,1,B0560,BANCO DE DESAROLLO AGROPECUARIO,,,,
197909009,1,B0569,BANCO DE LA NACION ARGENTINA,,,,
197909010,1,B0677,BANK FOR AGRICULTURE AND FOOD INDUSTRIES,BAFI,,,
197909011,1,B0677,BANK FOR AGRICULTURE AND FOOD INDUSTRIES,BAFI,,,
197909012,1,B0811,BENUE CEMENT CO LTD,,,,
197909013,1,B0839,BICICOMI,,,,
197909014,1,B0981,BULGARIAN FOREIGN TRADE BANK,,,,
197909015,1,B1004,C A ENERGIA ELECTRICA DE VENEZUELA,ENELVEN,,,
197909016,1,B1029,CAISSE D'AMORTISSEMENT POUR I'ACIER,CAPA,,,
197909017,1,B1036,CAIXA GERAL DE DEPOSITOS,,,,
197909018,1,B1053,CAMEROON SUGAR CO,CAMSUCO,,,
197909019,1,B1163,CENTRAIS ELETRICAS DE MINAS GERAIS SA,,,,
197909020,1,B0545,CENTRAL BANK OF URUGUAY,,URUGUAY,URY,
197909021,1,B0545,CENTRAL BANK OF URUGUAY,,URUGUAY,URY,
197909022,1,B1181,CENTRAL BANK OF THE REPUBLIC OF TURKEY,,TURKEY,TUR,
197909023,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,CFE,MEXICO,MEX,
197909024,1,B1484,COMPANHIA NACIONAL DO PETROQUIMICA,,,,
197909025,1,B1492,COMPANHIA VALE DO RIO DOCE,,,,
197909026,1,B1707,DANSK BORESELSKAB,,,,
197909027,1,B1765,DEUTSCHE AUSSEN-HANDELSBANK,,,,
197909028,1,B0497,DEUTSCHE BABCOCK,,,,
197909029,1,B1844,DUKE ENERGY TRUST,,,,
197909030,1,B1923,ELECTRICITY GENERATING AUTHORITY OF THAILAND,,,,
197909031,1,B1996,EMPRESA NACIONAL HIDRO-ELECTRICA DEL RIBAGORZANA,ENHER,,,
197909032,1,B1985,EMPRESA NACIONAL DE ELECTRICIDAD SA (SPAIN),ENDESA,SPAIN,ESP,
197909033,1,B2073,ETHIOPIAN AIRLINES,,,,
197909034,1,B2671,HANIL SYNTHETIC FIBRE,,SOUTH KOREA,KOR,
197909035,1,B2889,IMATRAN VIOMA OY,,,,
197909036,1,B2949,INDUSTRIE ZANUSSI SPA,,,,
197909037,1,B35042,INSTITUTO NACIONAL DE TELECOMUNICACLONES,INTEL,,,
197909038,1,B2987,INSTITUTO NACIONAL DE OBRAS SANITARIAS,INOS,VENEZUELA,VEN,
197909039,1,B2986,INSTITUTO NACIONAL DE VIVIENDA,,,,
197909040,1,B2996,INTER-AMERICAN DEVELOPMENT BANK,,,,
197909041,1,B3169,JORDAN CEMENT FACTORIES CO LTD,,,,
197909042,1,B3180,JUGOBANKA UNITED BANK,,,,
197909043,1,B5337,"JUGOBANKS, STOPANSKA BANKA KOSOVSKA BANKA",,,,
197909044,1,B2466,KINGDOM OF DENMARK,,,,
197909045,1,B3286,KOREA DEVELOPMENT FINANCE CORPORATION,,,,
197909046,1,B3289,KOREA ELECTRIC CO,,,,
197909047,1,B3583,MARINE TRANSPORT INTERNATIONAL,,,,
197909048,1,B3605,MASS TRANSIT RAILWAY CORPORATION HONG KONG,,,,
197909049,1,B3692,METALURSKI KOMBINAT SMEDEREVO,,,,
197909050,1,B3710,MEXICANA AVIACION,,MEXICO,MEX,
197909051,1,B3871,NATIONAL BANK OF ICELAND,,,,
197909052,1,B3961,NEW WORLD DEVELOPMENT BANK,,,,
197909053,1,B3708,OY METSA BOTINA,,,,
197909054,1,B4363,PETROLEOS MEXICANOS,PEMEX,,,
197909055,1,B4363,PETROLEOS MEXICANOS,PEMEX,,,
197909056,1,B4363,PETROLEOS MEXICANOS,PEMEX,,,
197909057,1,B4360,PETROLEO BRASILEIRO,PETROBRAS,,,
197909058,1,B4382,PHILIPPINE AIRLINES,,,,
197909059,1,B4486,PRIVREDNA BANKA SARAJEVO,,,,
197909060,1,B4486,PRIVREDNA BANKA SARAJEVO,,,,
197909061,1,B4487,PRIVREDNA BANKA ZAGREB,,,,
197909062,1,B2516,REPUBLIC OF ECUADOR,,,,
197909063,1,B2516,REPUBLIC OF ECUADOR,,,,
197909064,1,B2516,REPUBLIC OF ECUADOR,,,,
197909065,1,B2516,REPUBLIC OF ECUADOR,,,,
197909066,1,B2479,REPUBLIC OF ICELAND,,ICELAND,ISL,
197909067,1,B4679,REPUBLIC OF INDONESIA,,,,
197909068,1,B2490,REPUBLIC OF KENYA,,,,
197909069,1,B2555,REPUBLIC OF PORTUGAL,,,,
197909070,1,B4779,SABAA HOTELS CO,,,,
197909071,1,B4973,SHEBA POULTRY,,,,
197909072,1,B5027,SINGAPORE AIRLINES,,,,
197909073,1,B5089,SOCIEDAD ESPANOLA DEL ACUMULADOR TUDOR SA,,,,
197909074,1,B5107,SOCIETA FINANZARIA SPA,,,,
197909075,1,B5113,SOCIETA MERIDINALE FINANCIARIA SPA,SME,,,
197909076,1,B5197,SONATRACH,,,,
197909077,1,B2506,SULTANATE OF OMAN,,,,
197909078,1,B5693,UNC RESOURCES INC,,,,
197909079,1,B0812,UDREZENA BEOGRADSKA BANKA,,,,
197909080,1,B2496,UNITED MEXICAN STATES,,,,
197909081,1,B2522,UNITED REPUBLIC OF CAMEROON,,,,
197909082,1,B5811,VALESUL ALUMINIO,,,,
197909083,1,B6003,WORLD BANK,,,,
197909084,1,B6003,WORLD BANK,,,,
197910001,1,B0473,AUTOPISTA CONCESIONARIA ASTUR-LEONESA SA,,SPAIN,ESP,
197910002,1,B0550,BANCO CREDITO AGRICOLA DE CARTAGO,,COSTA RICA,CRI,
197910003,1,B0938,BRITISH CALEDONIAN,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,
197910004,1,B1219,CESKOSLOVENSKA OBCHODNI BANKA,,CZECHOSLOVAKIA,CSK,
197910005,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,CFE,MEXICO,MEX,
197910006,1,B1489,COMPANHIA SIDERURGICA NACIONAL,,BRAZIL,BRA,
197910007,1,B1508,COMPANIA TELEFONICA NACIONAL DE ESPANA,,SPAIN,ESP,
197910008,1,B1597,CORPORACION ESTATAL PETROLERA ECUATORIANA,CEPE,ECUADOR,ECU,
197910009,1,B1639,CREDIT POPULAIRE D'ALGERIE,,ALGERIA,DZA,
197910010,1,B1914,ELECTRICIDADE DO PORTUGAL,,PORTUGAL,PRT,
197910011,1,B2316,FUERZAS ELECTRICAS DE CATALUNA SA,FECSA,SPAIN,ESP,
197910012,1,B2316,FUERZAS ELECTRICAS DE CATALUNA SA,FECSA,SPAIN,ESP,
197910013,1,B2545,GREATER LONDON COUNCIL,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,
197910014,1,B4563,GREEK PUBLIC POWER CORPORATION,,GREECE,GRC,
197910015,1,B2738,HIDROELECTRICA DEL CANTABRICO SA,,SPAIN,ESP,
197910016,1,B2779,HONAM ETHYLENE CO LTD,,KOREA (THE REPUBLIC OF),KOR,
197910017,1,B4679,INDONESIA,,INDONESIA,IDN,
197910018,1,B3044,INVERSIONES CANTACLARO CA,,,,
197910018,2,B3045,INVERSIONES FELIZIANI-LAFFE CA,,,,
197910018,3,B5866,VILLA CLARA SA,,,,
197910019,1,B2484,IRELAND,,IRELAND,IRL,
197910020,1,B3242,KIA INDUSTRIAL CO LTD,,KOREA (THE REPUBLIC OF),KOR,
197910021,1,B2535,KINGDOM OF THAILAND,,THAILAND,THA,
197910022,1,B3605,MASS TRANSIT RAILWAY CORPORATION,,HONG KONG,HKG,
197910023,1,B3706,METROPOLITAN WATER WORKS AUTHORITY,,THAILAND,THA,
197910024,1,B5932,NV WERELDHAVE INTERNATIONAL,,NETHERLANDS (THE),NLD,
197910025,1,B3850,NACIONAL FINANCIERA SA,,MEXICO,MEX,
197910026,1,B4029,NORGES KOMMUNALBANK,,NORWAY,NOR,
197910027,1,B4132,OFFICE NATIONAL ALGERIEN DU TOURISME,,ALGERIA,DZA,
197910028,1,B4387,PHILIPPINE NATIONAL BANK,,PHILIPPINES (THE),PHL,
197910029,1,B4455,PORT OF MELBOURNE,,AUSTRALIA,AUS,
197910030,1,B4486,PRIVREDNA BANKA SARAJEVO,,YUGOSLAVIA,YUG,
197910030,2,B5683,UDRUZENJE BANAKA,,YUGOSLAVIA,YUG,
197910031,1,B2460,QUEBEC PROVINCE,,CANADA,CAN,
197910032,1,B2516,REPUBLIC OF ECUADOR,,ECUADOR,ECU,
197910033,1,B2503,REPUBLIC OF NIGERIA,,NIGERIA,NGA,
197910034,1,B4769,RURAL ELECTRIFICATION AUTHORITY OF NASR CITY,,EGYPT,EGY,
197910035,1,B5031,SINGAPORE REFINING CO,,SINGAPORE,SGP,
197910036,1,B5351,SUD-MADAGASCAR TEXTILE,SUMATEX,BRAZIL,BRA,
197910037,1,B5406,SYDKRAFT AB,,SWEDEN,SWE,
197910038,1,B5892,WAAGE DRILLING,,,,
197912001,1,B2867,AIR IBERIA,,SPAIN,ESP,
197912002,1,B2867,AIR IBERIA,,SPAIN,ESP,
197912003,1,B0191,ALLIED BREWERIES LTD,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,
197912004,1,B0191,ALLIED BREWERIES LTD,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,
197912005,1,B0254,AMERICAN MEDICAL INTERNATIONAL BV,AMI,UNITED STATES OF AMERICA (THE),USA,
197912006,1,B0383,ASIA MOTORS CORPORATION INC,,KOREA (THE REPUBLIC OF),KOR,
197912007,1,B0424,ATTOCK REFINERY LTD,,PAKISTAN,PAK,
197912007,2,B4238,PAKISTAN OIL FIELDS LTD,,PAKISTAN,PAK,
197912008,1,B0475,AUTOPISTAS DEL MARE NOSTRUM SA,AUMAR,SPAIN,ESP,
197912009,1,B0475,AUTOPISTAS DEL MARE NOSTRUM SA,AUMAR,SPAIN,ESP,
197912010,1,B0475,AUTOPISTAS DEL MARE NOSTRUM SA,AUMAR,SPAIN,ESP,
197912011,1,B0475,AUTOPISTAS DEL MARE NOSTRUM SA,AUMAR,SPAIN,ESP,
197912012,1,B0629,BANCO NACIONAL DE COSTA RICA,,COSTA RICA,CRI,
197912013,1,B0567,BANCO DE ITALIA Y RIO DE LA PLATA,,ARGENTINA,ARG,
197912014,1,B0581,BANCO DEL ESTADO DE CHILE,,CHILE,CHL,
197912015,1,B0737,BANQUE GABONAISE DE DEVELOPPEMENT,,GABON,GAB,
197912016,1,B0808,BENGUET CONSOLIDATED INC,,PHILIPPINES (THE),PHL,
197912017,1,B1022,CAISSE AUTONOME D'AMORTISSEMENT,CAA,BENIN,BEN,
197912018,1,B1144,CELULOSA ARGENTINA SA,,ARGENTINA,ARG,
197912019,1,B0542,CENTRAL BANK OF DOMINICAN REPUBLIC,,DOMINICA,DMA,
197912020,1,B0701,CENTRAL BANK OF GREECE,,GREECE,GRC,
197912021,1,B1288,CHINA STEEL CORPORATION,,TAIWAN (PROVINCE OF CHINA),TWN,
197912022,1,B1288,CHINA STEEL CORPORATION,,TAIWAN (PROVINCE OF CHINA),TWN,
197912023,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,CFE,MEXICO,MEX,
197912024,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,CFE,MEXICO,MEX,
197912025,1,B1418,COMISION TECNICA MIXTA DE SALTO GRANDE,,ARGENTINA,ARG,
197912026,1,B2445,COMMONWEALTH OF AUSTRALIA,,AUSTRALIA,AUS,
197912027,1,B1331,COMPAGNIE DES BAUXITES DE GUINEE,,GUINEA,GIN,
197912028,1,B1323,COMPANIA MANUFACTURERA DE PAPELES Y CARTONES SA,CMPC,CHILE,CHL,
197912029,1,B1502,COMPANIA MINERA AUTLAN SA DE CV,,MEXICO,MEX,
197912030,1,B1507,COMPANIA SEVILLANA DE ELECTRICIDAD SA,,SPAIN,ESP,
197912031,1,B1601,CORPORACION HONDURENA DEL BANANO,COHBANA,HONDURAS,HND,
197912032,1,B1589,CORPORACION VENEZOLANA DE FOMENTO,CVF,VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,
197912033,1,B1602,CORREIOS E TELECOMMUNICACOES DE PORTUGAL,CTP,PORTUGAL,PRT,
197912034,1,B1765,DEUTSCHE AUSSENHANDELSBANK,,GERMANY,DEU,
197912035,1,B1916,ELECTRICITE DE FRANCE,EDF,FRANCE,FRA,
197912036,1,B4884,"ELEKTROPRIVREDA ZAGREB, SAVSKE ELEKTRARNE LJUBLJANA",,YUGOSLAVIA,YUG,
197912037,1,B1939,ELETTRONICA SPA,,ITALY,ITA,
197912038,1,B1995,EMPRESA NACIONAL ELECTRICA DE CORDOBA,ENECO,SPAIN,ESP,
197912039,1,B1993,EMPRESA NACIONAL DEL PETROLEO SA,ENPETROL,CHILE,CHL,
197912040,1,B1993,EMPRESA NACIONAL DEL PETROLEO SA,ENPETROL,CHILE,CHL,
197912041,1,B2100,EUROVIAS,,SPAIN,ESP,
197912042,1,B2100,EUROVIAS,,SPAIN,ESP,
197912043,1,B2503,FEDERAL REPUBLIC OF NIGERIA,,NIGERIA,NGA,
197912044,1,B2503,FEDERAL REPUBLIC OF NIGERIA,,NIGERIA,NGA,
197912045,1,B2503,FEDERAL REPUBLIC OF NIGERIA,,NIGERIA,NGA,
197912046,1,B2177,FERTILIZANTES MEXICANOS SA,FERTIMEX,MEXICO,MEX,
197912047,1,B2278,FONDO NACIONAL DE DESARROLLO URBANO,FONDUR,VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,
197912048,1,B2316,FUERZAS ELECTRICAS DE CATALUNA SA,FECSA,SPAIN,ESP,
197912049,1,B2316,FUERZAS ELECTRICAS DE CATALUFIA SA,FECSA,SPAIN,ESP,
197912050,1,B2323,FUJIAN INVESTMENT & ENTERPRISE CORP,,CHINA,CHN,
197912051,1,B2437,GOTAAS-LARSEN SHIPPING CORP,,UNITED STATES,USA,
197912052,1,B2469,GOVERNMENT OF FIJI,,FIJI,FJI,
197912053,1,B2590,GRUPO INDUSTRIAL ALFA,,MEXICO,MEX,
197912054,1,B2986,INSTITUTO NACIONAL DE LA VIVIENDA,,DOMINICAN REPUBLIC,DOM,
197912055,1,B3026,INTERNATIONAL INVESTMENT BANK,,SUPRANATIONAL,,
197912056,1,B3093,ISTITUTO PER LA RICOSTRUZIONE INDUSTRIALE,IRI,ITALY,ITA,
197912057,1,B3097,ITAIPU BINACIONAL,,BRAZIL,BRA,
197912058,1,B2466,KINGDOM OF DENMARK,,DENMARK,DNK,
197912059,1,B2466,KINGDOM OF DENMARK,,DENMARK,DNK,
197912060,1,B2466,KINGDOM OF DENMARK,,DENMARK,DNK,
197912061,1,B3287,KOREA DEVELOPMENT LEASING CORP,,KOREA (THE REPUBLIC OF),KOR,
197912062,1,B3289,KOREA ELECTRIC COMPANY,,KOREA (THE REPUBLIC OF),KOR,
197912063,1,B3311,KOREAN AIRLINES,,KOREA (THE REPUBLIC OF),KOR,
197912064,1,B3311,KOREAN AIRLINES,,KOREA (THE REPUBLIC OF),KOR,
197912065,1,B1277,KOWLOON ELECTRICITY SUPPLY CO LTD,KESCO,HONG KONG,HKG,
197912066,1,B3402,LANDBRUGETS KAPITALFORMID-LINGSSELSKAB AS/AGROINVEST AS,,DENMARK,DNK,
197912067,1,B2545,LONDON BOROUGH OF SOUTHWARK,,UNITED KINGDOM,GBR,
197912068,1,B3547,MAGYAR NEMZETI BANK,,HUNGARY,HUN,
197912069,1,B3547,MAGYAR NEMZETI BANK,,HUNGARY,HUN,
197912070,1,B3547,MAGYAR NEMZETI BANK,,HUNGARY,HUN,
197912071,1,B3578,MARCOPPER,,,,
197912072,1,B3603,MASS DEVELOPMENT,,,,
197912073,1,B3660,MEGAL FINANCE CO LTD DRESDNER BANK,,,,
197912074,1,B3695,METRO AMERICA CA SOCIEDAD FINANCIERA,,VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,
197912075,1,B3850,NACIONAL FINANCIERA,,MEXICO,MEX,
197912076,1,B3850,NACIONAL FINANCIERA SA,NAFINSA,MEXICO,MEX,
197912077,1,B3928,NCHANGA CONSOLIDATED COPPER MINES,,ZAMBIA,ZMB,
197912078,1,B4098,NUOVI CANTIERI APUANIA SPA,,ITALY,ITA,
197912079,1,B4121,ODEBRECHT PERFURACOES LIMITADA,,,,
197912080,1,B4160,OLJE KONSUMENTERNAS PK BANKEN FORBUND E.F,,,,
197912081,1,B4298,PECHINEY UGINE KUHLMANN,,FRANCE,FRA,
197912082,1,B4484,PRINOS OIL FIELD AND SOUTH KAVALA GAS FIELD,,GREECE,GRC,
197912083,1,B2444,PROVINCE OF BUENOS AIRES,,ARGENTINA,ARG,
197912084,1,B4646,RED NACIONAL DE LOS FERROCARRILES ESPANOLES,RENFE,SPAIN,ESP,
197912085,1,B4648,REDERI AB NORDO,,SWEDEN,SWE,
197912086,1,B4648,REDERI AB NORDO,,SWEDEN,SWE,
197912087,1,B2503,REPUBLIC OF NIGERIA,,NIGERIA,NGA,
197912088,1,B4876,SAUDI-OGER LTD,,SAUDI ARABIA,SAU,
197912089,1,B5007,SIDERURGIA BRASILEIRA SA,SIDERBRAS,BRAZIL,BRA,
197912090,1,B5007,SIDERURGIA BRASILEIRA SA,SIDERBRAS,BRAZIL,BRA,
197912091,1,B5161,SOCIETE NATIONALE DE SIDERURGIE (ALGERIA),SNS,ALGERIA,DZA,
197912092,1,B5197,SONATRACH,,ALGERIA,DZA,
197912093,1,B2457,STATE OF BAHIA,,BRAZIL,BRA,
197912094,1,B2457,STATE OF SANTA CATARINA,,BRAZIL,BRA,
197912095,1,B5406,SYDKRAFT A/B,,SWEDEN,SWE,
197912096,1,B5458,TECK CORPORATION & HIGHMONT MINING CORPORATION,,,,
197912097,1,B2545,CITY OF SOUTHAMPTON,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,
197912098,1,B5650,TUBOS DE ACERO DE MEXICO,TAMSA,MEXICO,MEX,
197912099,1,B5698,UNI,,CHILE,CHL,
197912100,1,B5698,UNI,,CHILE,CHL,
197912101,1,B2522,UNITED REPUBLIC OF CAMEROON,,CAMEROON,CMR,
197912102,1,B2522,UNITED REPUBLIC OF CAMEROON,,CAMEROON,CMR,
197912103,1,B6003,WORLD BANK,,SUPRANATIONAL,,
198001001,1,B0091,AEROVIAS VENEZOLANOS SA,,VENEZUELA,VEN,H51
198001002,1,B0091,AEROVIAS VENEZOLANOS SA,,VENEZUELA,VEN,H51
198001003,1,B0160,AL-SAYEED ABDALLAH MOHAMED BAROOM,,SAUDI ARABIA,SAU,M73
198001004,1,B0690,ALANDS AKTIENBANK,,GERMANY,DEU,K64
198001005,1,B0223,ALUMINIUM BAHRAIN,ALBA,BAHRAIN,BHR,C32
198001006,1,B0292,ANGELICOUSSIS SHIPHOLDING GROUP LTD,,GREECE,GRC,H50
198001007,1,B0295,ANGLIA HASTINGS & THANET BUILDING SOCIETY,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,K64
198001008,1,B0388,ASIAN DEVELOPMENT BANK,,SUPRANATIONAL,,K64
198001009,1,B0451,AUSTRALIAN PROGRESS FINANCE LTD,,AUSTRALIA,AUS,
198001010,1,B0451,AUSTRALIAN PROGRESS FINANCE LTD,,AUSTRALIA,AUS,
198001011,1,B0493,AZUCARERA CENTRAL SA,,HONDURAS,HND,
198001012,1,B0629,BANCO NACIONAL DE COSTA RICA,,COSTA RICA,CRI,K64
198001013,1,B0651,BANCO REAL,,BRAZIL,BRA,K64
198001014,1,B0556,BANCO DE CHILE,,CHILE,CHL,K64
198001015,1,B0683,BANK HANDLOWY W WARSAWIE,,POLAND,POL,K64
198001016,1,B0694,BANK OF CHINA,,CHINA,CHN,K64
198001017,1,B0758,BARRAFIN LTD,,,,
198001018,1,B0766,BASTOGI IRBS SPA,,ITALY,ITA,"R90, L68
"
198001019,1,B0947,BRITISH POST OFFICE,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,H53
198001020,1,B1034,CAISSE NATIONALE DES TELECOMMUNICATIONSA,CNT,FRANCE,FRA,J61
198001021,1,B1156,CEMENTOS MEXICANOS SA,,MEXICO,MEX,C32
198001022,1,B1156,CEMENTOS MEXICANOS SA,,MEXICO,MEX,C32
198001023,1,B1179,CENTRAL BANK OF THE PHILIPPINES,COPED,PHILIPPINES (THE),PHL,K64
198001024,1,B1495,CIA DE ACERO DEL PACIFICO,CAP,CHILE,CHL,B07
198001025,1,B1382,COASTAL STATES EUROPE LTD,,UNITED KINGDOM,GBR,O84
198001026,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,CFE,MEXICO,MEX,D35
198001027,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,CFE,MEXICO,MEX,D35
198001028,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,CFE,MEXICO,MEX,D35
198001029,1,B1421,COMMERCIAL BANK OF GREECE,,GREECE,GRC,K64
198001030,1,B1457,COMPAGNIE DES PHOSPHATES DE GAFSA,CPG,TUNISIA,TUN,B09
198001031,1,B1478,COMPANHIA ENERGETICA DE SAO PAULO,CESP,BRAZIL,BRA,"D35
"
198001032,1,B1484,COMPANHIA NACIONAL PETROQUIMICA EP,CNT,PORTUGAL,PRT,
198001033,1,B1313,COMPANIA CERVECERIAS UNIDAS,,CHILE,CHL,C32
198001034,1,B1639,CREDIT POPULAIRE D'AIGDRIE,,ALGERIA,DZA,K64
198001035,1,B1754,DERSA,,BRAZIL,BRA,K64
198001036,1,B1681,DAELIM MACHINERY CO LTD,,KOREA (THE REPUBLIC OF),KOR,"F41,F42,F43,C19


"
198001037,1,B0751,BAR OKAZ PRINTING & PUBLISHING CO LTD,,SAUDI ARABIA,SAU,J58
198001038,1,B1756,DESARROLLO GRUPO DE CO-ORDINACION INAVI CA,GECINCA,,,
198001039,1,B1756,DESARROLLO GRUPO DE CO-ORDINACION INAVI CA,GECINCA,,,
198001040,1,B1823,DOW CHEMICAL KOREA LTD,,KOREA (THE REPUBLIC OF),KOR,C20
198001040,2,B3304,KOREA PACIFIC CHEMICAL CORP,,KOREA (THE REPUBLIC OF),KOR,C20
198001041,1,B1879,ECUATORIANA,,ECUADOR,ECU,H51
198001042,1,B1897,EKOFISK,,NORWAY,NOR,C19
198001043,1,B2002,ELECTRICIDAD DEL PERU,ELECTROPERU,PERU,PER,D35
198001044,1,B1925,ELECTRICITY SUPPLY COMMISSION,ESCOM,SOUTH AFRICA,ZAF,D35
198001045,1,B1925,ELECTRICITY SUPPLY COMMISSION,ESCOM,SOUTH AFRICA,ZAF,D35
198001046,1,B1934,ELEKTRICITETESSEISKABET ISEFJORDVAERKET INTERESSENTSKAB,IFV POWER CO,DENMARK,DNK,
198001047,1,B1990,EMPRESA NACIONAI DE TELECOMMUNICACIONES ARGENTINA,ENTEL,ARGENTINA,ARG,
198001048,1,B2503,FEDERAL REPUBLIC OF NIGERIA,,NIGERIA,NGA,O84
198001049,1,B2457,FEDERATIVE REPUBLIC OF BRAZIL,,BRAZIL,BRA,O84
198001050,1,B2187,FILIPINAS SYNTHETIC FIBER CORP,FILSYN,PHILIPPINES (THE),PHL,C32
198001051,1,B2338,GALLEON SHIPPING,,PHILIPPINES (THE),PHL,H52
198001052,1,B2671,HANIL SYNTHETIC FIBRE,,KOREA (THE REPUBLIC OF),KOR,C32
198001053,1,B2677,HANYANG CORPORATION,,SOUTH KOREA,KOR,F42
198001054,1,B2677,HANYANG CORPORATION,,SOUTH KOREA,KOR,F42
198001055,1,B2739,HIDROELECTRICA ESPANOLA,HIDROLA,SPAIN,ESP,D35
198001056,1,B2739,HIDROELECTRICA ESPANOLA,HIDROLA,SPAIN,ESP,D35
198001057,1,B2859,HYDROCARBONS BANK,,ITALY,ITA,
198001058,1,B2875,ICELANDAIR,,ICELAND,ISL,H51
