OG_INDEX,PKGID,ORDER,BORROWERID,BORROWER,CLEAN_BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,CLUSTER
0,197401001,1,B4293,P.E. BENTESEN A/S,PE BENTESEN AS,,DENMARK,DNK,,,,2195
1,197401002,1,B1162,CENTRAIS ELECTRICAS DE GOIAS,CENTRAIS ELECTRICAS DE GOIAS,,BRAZIL,BRA,D35,,,8973
2,197401003,1,B1352,CITIZENS AND SOUTHERN REALTY INVESTORS,CITIZENS SOUTHERN REALTY INVESTORS,,UNITED STATES OF AMERICA (THE),USA,C54,,,3927
3,197401004,1,B1415,COMISION FEDERAL DE ELECTRICIDAD,COMISION FEDERAL DE ELECTRICIDAD,,MEXICO,MEX,D35,,,10597
4,197401005,1,B1639,CREDIT POPULAIRE D'ALGERIE,CREDIT POPULAIRE DALGERIE,,ALGERIA,DZA,K64,,,6129
5,197401006,1,B1639,CREDIT POPULAIRE D'ALGERIE,CREDIT POPULAIRE DALGERIE,,ALGERIA,DZA,K64,,,6129
6,197401007,1,B1732,"DEEP SEA DRILLING COMPANY, BERGEN",DEEP SEA DRILLING COMPANY BERGEN,,NORWAY,NOR,B06,,,8583
7,197401008,1,B1763,DEN DANSKE STAALVASEVAERK A/S,DEN DANSKE STAALVASEVAERK AS,,DENMARK,DNK,,,,2172
8,197401009,1,B2231,FIRST MORTGAGE INVESTORS,FIRST MORTGAGE INVESTORS,,UNITED STATES OF AMERICA (THE),USA,K64,,,4789
9,197401010,1,B2234,FIRST NATIONAL FINANCE CORPORATION,FIRST NATIONAL FINANCE CORPORATION,,UNITED KINGDOM,GBR,K64,,,94
10,197401011,1,B2595,GRUPO CIMENTO PARAISO,GRUPO CIMENTO PARAISO,,BRAZIL,BRA,,,,3760
11,197401012,1,B2980,INSTITYTO DE FOMENTO NACIONAL,INSTITYTO DE FOMENTO NACIONAL,,NICARAGUA,NIC,O84,,,10182
12,197401013,1,B3500,LONDON AND OVERSEAS PROPERTY AND INVESTMENT COMPANY LIMITED,LONDON OVERSEAS PROPERTY INVESTMENT COMPANY LIMITED,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,K64,,,7266
13,197401014,1,B3563,MALLOW LINE (SHIPPING) CORPORATION,MALLOW LINE SHIPPING CORPORATION,,,,H50,,,5682
14,197401015,1,B4340,PERSIAN OIL TANKER CORPORATION,PERSIAN OIL TANKER CORPORATION,,,,H50,,,5705
15,197401016,1,B2080,EURO SHIPPING CORPORATION,EURO SHIPPING CORPORATION,,,,H50,,,5680
16,197401017,1,B3705,METROPOLITAN PROPERTY HOLDINGS LIMITED,METROPOLITAN PROPERTY HOLDINGS LIMITED,,GHANA,GHA,L68,,,6899
17,197401018,1,B4161,OLJEKONSUMENTERNAS FORBUND,OLJEKONSUMENTERNAS FORBUND,,SWEDEN,SWE,,,,3599
18,197401019,1,B4342,"PERTAMINA, INDONESIA",PERTAMINA INDONESIA,,INDONESIA,IDN,N82,,,7032
19,197401020,1,B2457,"THE STATE OF PARA, BRAZIL",STATE PARA BRAZIL,,BRAZIL,BRA,O84,,,1922
20,197401021,1,B2506,THE SULTAN OF OMAN,SULTAN OMAN,,OMAN,OMN,O84,,,2612
21,197401022,1,B5383,SUPERINTENDENCIA NACIONAL DA MARINHA MERCANTE,SUPERINTENDENCIA NACIONAL DA MARINHA MERCANTE,SUNAMAM,BRAZIL,BRA,N82,,,10531
22,197401023,1,B2540,THE GOVERNMENT OF TRINIDAD AND TOBAGO,GOVERNMENT TRINIDAD TOBAGO,,TRINIDAD AND TOBAGO,TTO,O84,,,2614
23,197401024,1,B5630,TRINIDAD-TESORO PETROLEUM COMPANY LIMITED,TRINIDADTESORO PETROLEUM COMPANY LIMITED,,TRINIDAD AND TOBAGO,TTO,B08,,,7486
24,197401025,1,B3417,TRI-SOUTH MORTAGE INVESTORS,TRISOUTH MORTAGE INVESTORS,,UNITED STATES OF AMERICA (THE),USA,K64,,,3925
25,197401026,1,B0292,ANGELICOUSSIS SHIPHOLDING GROUP LIMITED,ANGELICOUSSIS SHIPHOLDING GROUP LIMITED,,GREECE,GRC,H50,,,1388
26,197401027,1,B0735,BANQUE EXTERIEURE D'ALGERIE,BANQUE EXTERIEURE DALGERIE,,ALGERIA,DZA,K64,,,9412
27,197401028,1,B0941,BRITISH GAS CORPORATION,BRITISH GAS CORPORATION,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,D35,,,5706
28,197401029,1,B0943,BRITISH LEYLAND MOTOR CORPORATION LIMITED,BRITISH LEYLAND MOTOR CORPORATION LIMITED,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,C29,,,5763
29,197401030,1,B1128,CAVENHAM LIMITED,CAVENHAM LIMITED,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,K64,,,3112
30,197401031,1,B1163,"CENTRAIS ELETRICAS DE MINAS GERAIS, S.A.",CENTRAIS ELETRICAS DE MINAS GERAIS SA,,BRAZIL,BRA,D35,,,9526
31,197401032,1,B1415,"COMISION FEDERAL DE ELECTRIDAD, MEXICO",COMISION FEDERAL DE ELECTRIDAD MEXICO,,MEXICO,MEX,O84,,,10610
32,197401033,1,B1515,"CONCESSIONI E CONSTRUZIONI AUTOSTRADE, S.P.A.",CONCESSIONI E CONSTRUZIONI AUTOSTRADE SPA,,ITALY,ITA,H52,,,1457
33,197401034,1,B1545,CONSORZIO PER L'AUTOSTRADA MESSINA-CATANIA-SIRACUSA,CONSORZIO PER LAUTOSTRADA MESSINACATANIASIRACUSA,,ITALY,ITA,H52,,,1728
34,197401035,1,B1556,"CONTINENTAL DE CREDITOS MERCANTILES C.A., VENEZUELA",CONTINENTAL DE CREDITOS MERCANTILES CA VENEZUELA,,VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,,,,9721
35,197401036,1,B2247,FISONS,FISONS,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,C20,,,4681
36,197401037,1,B2316,FUERZAS ELECTRICAS DE CATALUNA S.A.,FUERZAS ELECTRICAS DE CATALUNA SA,,SPAIN,ESP,D35,,,10456
37,197401038,1,B1996,EMPRESA NACIONAL HIDROELECTRICA DEL RIBAGORZANA S.A.,EMPRESA NACIONAL HIDROELECTRICA DEL RIBAGORZANA SA,,SPAIN,ESP,,,,10390
38,197401039,1,B2737,"HIDROELECTRICA DE CATALUNA, S.A.",HIDROELECTRICA DE CATALUNA SA,,SPAIN,ESP,D35,,,10455
39,197401040,1,B2318,"FUERZAS HIDROELECTRICAS DEL SERGE, S.A.",FUERZAS HIDROELECTRICAS DEL SERGE SA,,SPAIN,ESP,,,,10084
40,197401041,1,B2339,"GALLICO INVESTMENTS LIMITED, HONG KONG",GALLICO INVESTMENTS LIMITED HONG KONG,,HONG KONG,HKG,K64,,,7109
41,197401042,1,B2793,HONG KONG TELEPHONE COMPANY LIMITED,HONG KONG TELEPHONE COMPANY LIMITED,,HONG KONG,HKG,J61,,,7101
42,197401043,1,B2948,"INDUSTRIAS UNIDAS, S.A., MEXICO",INDUSTRIAS UNIDAS SA MEXICO,,MEXICO,MEX,C30,,,9099
43,197401044,1,B3547,MAGYAR NEMZETI BANK,MAGYAR NEMZETI BANK,MNB,HUNGARY,HUN,K64,,,453
44,197401045,1,B3790,"MONOMEROS COLOMBO-VENEZOLANOS, S.A., COLOMBIA",MONOMEROS COLOMBOVENEZOLANOS SA COLOMBIA,,COLOMBIA,COL,C20,,,9200
45,197401046,1,B4217,P.T. INTERNATIONAL NICKEL INDONESIA,PT INTERNATIONAL NICKEL INDONESIA,,INDONESIA,IDN,K64,,,7021
46,197401047,1,B4564,PUBLIC SERVICE COMPANY OF COLORADO,PUBLIC SERVICE COMPANY COLORADO,,UNITED STATES OF AMERICA (THE),USA,D35,,,7370
47,197401048,1,B5233,SOUTHERN PERU COPPER CORPORATION,SOUTHERN PERU COPPER CORPORATION,SCC,PERU,PER,B07,,,2930
48,197401049,1,B2465,THE DEMOCRATIC REPUBLIC OF THE SUDAN,DEMOCRATIC REPUBLIC SUDAN,,SUDAN (THE),SDN,O84,,,630
49,197401050,1,B5546,THYSSEN-BORNEMISZA GROUP N.V.,THYSSENBORNEMISZA GROUP NV,TBG,NETHERLANDS (THE),NLD,J63,,,1322
50,197401051,1,B5585,TOWN AND COMMERCIAL PROPERTIES LIMIED,TOWN COMMERCIAL PROPERTIES LIMIED,,CANADA,CAN,K64,,,3173
51,197401052,1,B0291,ANGELICA MARITIME CORPORATION,ANGELICA MARITIME CORPORATION,,HONG KONG,HKG,,,,5745
52,197401053,1,B2457,"THE STATE OF BAHIA, BRAZIL",STATE BAHIA BRAZIL,,BRAZIL,BRA,O84,,,1923
53,197401054,1,B0722,BANK SANAYE IRAN,BANK SANAYE IRAN,,IRAN (ISLAMIC REPUBLIC OF),IRN,K64,,,351
54,197401055,1,B0987,BURMAH OIL INCORPORATED,BURMAH OIL INCORPORATED,,UNITED KINGDOM,GBR,B06,,,8879
55,197401056,1,B0987,THE BURMAH OIL COMPANY LIMITED,BURMAH OIL COMPANY LIMITED,,UNITED KINGDOM,GBR,B06,,,8828
56,197401057,1,B1164,"CENTRAIS ELECTRICAS DE SAO PAULO SA, BRAZIL",CENTRAIS ELECTRICAS DE SAO PAULO SA BRAZIL,,BRAZIL,BRA,D35,,,9374
57,197401058,1,B1168,CENTRAL AMERICAN BANK FOR ECONOMIC INTEGRATION,CENTRAL AMERICAN BANK ECONOMIC INTEGRATION,,SUPRANATIONAL,,K64,,,240
58,197401059,1,B2487,REPUBLIQUE DE COTE D'IVOIRE,REPUBLIQUE DE COTE DIVOIRE,,COTE D'IVOIRE,CIV,O84,,,9780
59,197401060,1,B2172,FEPASA FERROVIA PAULISTA SA,FEPASA FERROVIA PAULISTA SA,FWPASA,BRAZIL,BRA,,,,9055
60,197401061,1,B1759,DERSA DESENVOLVIMENTO RODOVIARIO SA,DERSA DESENVOLVIMENTO RODOVIARIO SA,,BRAZIL,BRA,F42,,,9076
61,197401062,1,B4677,REPUBLIC OF GABON,REPUBLIC GABON,,GABON,GAB,O84,,,652
62,197401063,1,B2812,"HOTEL CRILLON SA, LA PAZ",HOTEL CRILLON SA LA PAZ,,BOLIVIA,BOL,I55,,,9107
63,197401064,1,B2949,INDUSTRIE A. ZANUSSI SPA,INDUSTRIE A ZANUSSI SPA,,ITALY,ITA,C32,,,1469
64,197401065,1,B3268,KOCKUMS MEKANISKA VERSTADS AKTICBOLAG,KOCKUMS MEKANISKA VERSTADS AKTICBOLAG,,SWEDEN,SWE,H50,,,3369
65,197401066,1,B2545,COUNTY OF LANARK,COUNTY LANARK,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,O84,,,3639
66,197401067,1,B3485,"LJUBLJANSKA BANKA, YUGOSLAVIA",LJUBLJANSKA BANKA YUGOSLAVIA,,YUGOSLAVIA,YUG,K64,,,2012
67,197401068,1,B3674,MERCANTILE CREDIT COMPANY LIMITED,MERCANTILE CREDIT COMPANY LIMITED,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,K64,,,6197
68,197401069,1,B2496,MEXICO,MEXICO,,MEXICO,MEX,O84,,,9351
69,197401070,1,B3793,MONTAGUE L. MEYER LIMITED,MONTAGUE L MEYER LIMITED,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,K64,,,3102
70,197401071,1,B3850,"NACIONAL FINANCIERA SA, MEXICO",NACIONAL FINANCIERA SA MEXICO,,MEXICO,MEX,O84,,,10384
71,197401072,1,B4009,NOORDGASTRANSPORT BV,NOORDGASTRANSPORT BV,,NETHERLANDS (THE),NLD,B06,,,2733
72,197401073,1,B2511,REPUBLIC OF PERU,REPUBLIC PERU,,PERU,PER,O84,,,557
73,197401074,1,B4363,PETROLEOS MEXICANOS,PETROLEOS MEXICANOS,,MEXICO,MEX,B06,,,676
74,197401075,1,B4363,PETROLEOS MEXICANOS,PETROLEOS MEXICANOS,,MEXICO,MEX,B06,,,676
75,197401076,1,B4387,PHILIPPINE NATIONAL BANK,PHILIPPINE NATIONAL BANK,,PHILIPPINES (THE),PHL,K64,,,2
76,197401077,1,B4563,"PUBLIC POWER CORPORATION, GREECE",PUBLIC POWER CORPORATION GREECE,,GREECE,GRC,D35,,,8485
77,197401078,1,B4915,SEALANE TANKERS INCORPORATED,SEALANE TANKERS INCORPORATED,,UNITED STATES OF AMERICA (THE),USA,H50,,,3536
78,197401078,2,B0203,ALLOCEAN TANKERS INCORPORATED,ALLOCEAN TANKERS INCORPORATED,,UNITED STATES OF AMERICA (THE),USA,H50,,,3537
79,197401078,3,B0337,ARBEIT TANKERS INCORPORATED,ARBEIT TANKERS INCORPORATED,,UNITED STATES OF AMERICA (THE),USA,H50,,,3539
80,197401081,1,B5111,SOCIETA ITALIANA RESINE SPA,SOCIETA ITALIANA RESINE SPA,,ITALY,ITA,C32,,,1558
81,197401082,1,B5297,THE STANDARD OIL COMPANY,STANDARD OIL COMPANY,,UNITED STATES OF AMERICA (THE),USA,B06,,,8823
82,197401083,1,B2540,TRINIDAD AND TOBAGO,TRINIDAD TOBAGO,,TRINIDAD AND TOBAGO,TTO,O84,,,2619
83,197401084,1,B5822,VARDINOYANNIS SHIPPING GROUP,VARDINOYANNIS SHIPPING GROUP,,GREECE,GRC,H50,,,1382
84,197401085,1,B6025,YACIMIENTOS PETROLIFEROS FISCALES,YACIMIENTOS PETROLIFEROS FISCALES,,ARGENTINA,ARG,B06,,,2304
85,197401086,1,B2349,GAS DEL ESTADO,GAS DEL ESTADO,,ARGENTINA,ARG,B06,,,10040
86,197401087,1,B1050,CAMERON FINANCIAL CORPORATION,CAMERON FINANCIAL CORPORATION,,UNITED STATES OF AMERICA (THE),USA,K66,,,5733
87,197401088,1,B0997,"C. A. VENEZOLANA DE DESARROLLO, SOCIEDAD FINANCIERA",C A VENEZOLANA DE DESARROLLO SOCIEDAD FINANCIERA,,VENEZUELA,VEN,,,,9682
88,197401089,1,B1542,"CONSORZIO DI CREDITO PER LE OPERE PUBBLICHE, ITALY",CONSORZIO DI CREDITO PER LE OPERE PUBBLICHE ITALY,,ITALY,ITA,,,,1733
89,197401090,1,B1545,CONSORZIO PER L'AUTOSTRADA MESSINA-CATANIA-SIRACUSA,CONSORZIO PER LAUTOSTRADA MESSINACATANIASIRACUSA,,ITALY,ITA,,,,1728
90,197401091,1,B1854,"K/S DYVI DRILLING A/S, NORWAY",KS DYVI DRILLING AS NORWAY,,NORWAY,NOR,B06,,,2136
91,197401092,1,B1921,THE ELECTRICITY COUNCIL,ELECTRICITY COUNCIL,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,D35,,,1968
92,197401093,1,B2359,GEBRUEDER HISCHMANN,GEBRUEDER HISCHMANN,,GERMANY,DEU,,,,4121
93,197401094,1,B3091,ISTITUTO MOBILIARE ITALIANO,ISTITUTO MOBILIARE ITALIANO,,ITALY,ITA,O84,,,1447
94,197401095,1,B3285,THE KOREA DEVELOPMENT BANK,KOREA DEVELOPMENT BANK,,KOREA (THE REPUBLIC OF),KOR,K64,,,188
95,197401096,1,B3910,"LANDSVIRKJUN, ICELAND",LANDSVIRKJUN ICELAND,,ICELAND,ISL,D35,,,3286
96,197401097,1,B4363,PETROLEOS MEXICANOS,PETROLEOS MEXICANOS,,MEXICO,MEX,C19,,,676
97,197401098,1,B0181,ALISON MORTGAGE INVESTMENT TRUST,ALISON MORTGAGE INVESTMENT TRUST,,UNITED STATES OF AMERICA (THE),USA,K64,,,7255
98,197401099,1,B0829,BETICA DE AUTOPISTAS SA,BETICA DE AUTOPISTAS SA,,SPAIN,ESP,F41,,,8907
99,197401100,1,B2457,FEDERATIVE REPUBLIC OF BRAZIL,FEDERATIVE REPUBLIC BRAZIL,,BRAZIL,BRA,O84,,,564
100,197401101,1,B2457,FEDERATIVE REPUBLIC OF BRAZIL,FEDERATIVE REPUBLIC BRAZIL,,BRAZIL,BRA,O84,,,564
101,197401102,1,B2457,"THE GOVERNMENT OF THE STATE OF CEARA, BRAZIL",GOVERNMENT STATE CEARA BRAZIL,,BRAZIL,BRA,O84,,,1851
102,197401103,1,B1144,CELULOSA ARGENTINA SA,CELULOSA ARGENTINA SA,,ARGENTINA,ARG,A02,,,9210
103,197401104,1,B1441,COMPAGNIA ARABO EUROPEENNE DE VERRE,COMPAGNIA ARABO EUROPEENNE DE VERRE,,LEBANON,LBN,,,,9858
104,197401105,1,B1492,COMPANHIA VALE DO RIO DOCE,COMPANHIA VALE DO RIO DOCE,,BRAZIL,BRA,B07,,,9993
105,197401106,1,B1508,COMPANIA TELEFONICA NACIONAL DE ESPANA,COMPANIA TELEFONICA NACIONAL DE ESPANA,,SPAIN,ESP,J61,,,10508
106,197401107,1,B0632,BANCO NACIONAL DE CUBA,BANCO NACIONAL DE CUBA,,CUBA,CUB,K64,,,10205
107,197401108,1,B1828,DRAGADOS Y CONSTRUCCIONES GROUP,DRAGADOS Y CONSTRUCCIONES GROUP,,SPAIN,ESP,F41,,,9322
108,197401109,1,B1838,DUBAI DRY DOCK COMPANY LIMITED,DUBAI DRY DOCK COMPANY LIMITED,,UNITED ARAB EMIRATES (THE),ARE,H50,,,8593
109,197401110,1,B2276,"FONDO AERONAUTICO NACIONAL DEPARTAMENTO ADMINISTRATIVO DE AERONAUTICA CIVIL, COLOMBIA",FONDO AERONAUTICO NACIONAL DEPARTAMENTO ADMINISTRATIVO DE AERONAUTICA CIVIL COLOMBIA,,COLOMBIA,COL,O84,,,10546
110,197401111,1,B4677,GABONESE REPUBLIC,GABONESE REPUBLIC,,GABON,GAB,O84,,,600
111,197401112,1,B2545,THE GREATER LONDON COUNCIL,GREATER LONDON COUNCIL,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,O84,,,2461
112,197401113,1,B0701,BANK OF GREECE,BANK GREECE,,GREECE,GRC,K64,,,540
113,197401114,1,B3091,ISTITUTO MOBILIARE ITALIANO,ISTITUTO MOBILIARE ITALIANO,,ITALY,ITA,K64,,,1447
114,197401115,1,B2484,IRELAND,IRELAND,,IRELAND,IRL,O84,,,2318
115,197401116,1,B3485,"LJUBLJANSKA BANK, YUGOSLAVIA",LJUBLJANSKA BANK YUGOSLAVIA,,YUGOSLAVIA,YUG,K64,,,362
116,197401117,1,B2550,YUGOSLAVIA,YUGOSLAVIA,,YUGOSLAVIA,YUG,O84,,,3513
117,197401118,1,B3674,MERCANTILE CREDIT COMPANY LIMITED,MERCANTILE CREDIT COMPANY LIMITED,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,K64,,,6197
118,197401119,1,B0568,"BANCO DE LA NACION, PERU",BANCO DE LA NACION PERU,,PERU,PER,K64,,,10263
119,197401120,1,B4619,RANK CITY WALL CANADA LIMITED,RANK CITY WALL CANADA LIMITED,,CANADA,CAN,K64,,,6434
120,197401121,1,B4957,S.G.I. INTERNATIONAL COMPANY,SGI INTERNATIONAL COMPANY,,ITALY,ITA,,,,5501
121,197401121,2,B0809,BENI IMMOBILI INTERNATIONAL REAL ESTATE CORPORATION,BENI IMMOBILI INTERNATIONAL REAL ESTATE CORPORATION,,ITALY,ITA,L68,,,5355
122,197401122,1,B5097,SOCIEDADE DE EMPREENDIMENTOS INDUSTRIAIS,SOCIEDADE DE EMPREENDIMENTOS INDUSTRIAIS,,BRAZIL,BRA,,,,9857
123,197401122,2,B1412,"COMERCIAIS E MINERACAO, BRAZIL",COMERCIAIS E MINERACAO BRAZIL,,BRAZIL,BRA,B07,,,3496
124,197401123,1,B5564,THE TOKYO ELECTRIC POWER COMPANY INCORPORATED,TOKYO ELECTRIC POWER COMPANY INCORPORATED,TEPCO,JAPAN,JPN,D35,,,8453
125,197401124,1,B5743,UNITED BISCUITS LIMITED,UNITED BISCUITS LIMITED,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,I56,,,7334
126,197401125,1,B2444,REPUBLIC OF ARGENTINA,REPUBLIC ARGENTINA,,ARGENTINA,ARG,O84,,,563
127,197401126,1,B2446,REPUBLIC OF AUSTRIA,REPUBLIC AUSTRIA,,AUSTRIA,AUT,O84,,,578
128,197401127,1,B0634,BANCO NACIONAL DO DESENVOLVIMENTO ECONOMICO,BANCO NACIONAL DO DESENVOLVIMENTO ECONOMICO,,BRAZIL,BRA,K64,,,10281
129,197401128,1,B0722,BANK SANAYE IRAN,BANK SANAYE IRAN,,IRAN (ISLAMIC REPUBLIC OF),IRN,K64,,,351
130,197401129,1,B2545,THE CITY AND COUNTY OF BRISTOL,CITY COUNTY BRISTOL,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,O84,,,2411
131,197401130,1,B1034,CAISSE NATIONALE DES TELECOMMUNICATIONS,CAISSE NATIONALE DES TELECOMMUNICATIONS,,FRANCE,FRA,J61,,,9465
132,197401131,1,B1049,"CAMELIA SA, PANAMA",CAMELIA SA PANAMA,,PANAMA,PAN,,,,9078
133,197401132,1,B1750,"DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MATO GROSSO, BRAZIL",DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MATO GROSSO BRAZIL,,BRAZIL,BRA,,,,9920
134,197401133,1,B1842,"DUBROVACKA BANKA, DUBROVNIK",DUBROVACKA BANKA DUBROVNIK,,YUGOSLAVIA,YUG,K64,,,2034
135,197401134,1,B1916,ELECTRICITE DE FRANCE,ELECTRICITE DE FRANCE,,FRANCE,FRA,D35,,,10591
136,197401135,1,B2124,FABRICA DE TECIDOS TATUAPE SA,FABRICA DE TECIDOS TATUAPE SA,,BRAZIL,BRA,C13,,,9623
137,197401136,1,B2471,REPUBLIC OF FRANCE,REPUBLIC FRANCE,,FRANCE,FRA,O84,,,626
138,197401137,1,B2545,THE CORPORATION OF THE CITY OF GLASGOW,CORPORATION CITY GLASGOW,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),GBR,O84,,,5737
139,197401138,1,B2606,GTE INTERNATIONAL INCORPORATED,GTE INTERNATIONAL INCORPORATED,,PHILIPPINES,PHL,G47,,,5442
140,197401139,1,B2488,THE GOVERNMENT OF JAMAICA,GOVERNMENT JAMAICA,,JAMAICA,JAM,O84,,,1845
141,197401140,1,B3363,KYMIN OSAKEYHITO KYMMENE AKTIEBOLAG,KYMIN OSAKEYHITO KYMMENE AKTIEBOLAG,,FINLAND,FIN,A02,,,3732
142,197401141,1,B3870,"MAGYAR NEMZETI BANK, HUNGARY",MAGYAR NEMZETI BANK HUNGARY,,HUNGARY,HUN,K64,,,454
143,197401142,1,B3783,MOLAVE BULK CARRIERS INC.,MOLAVE BULK CARRIERS INC,,PHILIPPINES (THE),PHL,H50,,,745
144,197401143,1,B4087,NORWIND SHIPPING COMPANY INCORPORATED,NORWIND SHIPPING COMPANY INCORPORATED,,SWITZERLAND,CHE,H50,,,8621
145,197401144,1,B4012,NORCAPE (LIBERIA) INCORPORATED,NORCAPE LIBERIA INCORPORATED,,LIBERIA,LBR,,,,3532
146,197401145,1,B4913,SEAFARER TANKERS INCORPORATED,SEAFARER TANKERS INCORPORATED,,,,,,,3538
147,197401146,1,B4183,ORIENTAL CHEMICAL FIBER CORPORATION,ORIENTAL CHEMICAL FIBER CORPORATION,,TAIWAN (PROVINCE OF CHINA),TWN,C20,,,5811
148,197401147,1,B0568,"BANCO DE LA NACION, PERU",BANCO DE LA NACION PERU,,PERU,PER,K64,,,10263
149,197401148,1,B1179,CENTRAL BANK OF THE PHILIPPINES,CENTRAL BANK PHILIPPINES,,PHILIPPINES (THE),PHL,K64,,,239
150,197401149,1,B1179,CENTRAL BANK OF THE PHILIPPINES,CENTRAL BANK PHILIPPINES,,PHILIPPINES (THE),PHL,K64,,,239
151,197401150,1,B1179,CENTRAL BANK OF THE PHILIPPINES,CENTRAL BANK PHILIPPINES,,PHILIPPINES (THE),PHL,K64,,,239
152,197401151,1,B2748,REDERI A/S JULIAN (HILMAR REKSTEN),REDERI AS JULIAN HILMAR REKSTEN,,NORWAY,NOR,H50,,,2188
153,197401152,1,B2521,REPUBLIC OF SENEGAL,REPUBLIC SENEGAL,,SENEGAL,SEN,O84,,,586
154,197401153,1,B5135,SOCIETE GABONAISE DE FINANCEMENT ET D'EXPANSION,SOCIETE GABONAISE DE FINANCEMENT ET DEXPANSION,,GABON,GAB,,,,9436
155,197401154,1,B5209,SOUTH AFRICAN IRON,SOUTH AFRICAN IRON,,SOUTH AFRICA,ZAF,B07,,,7074
156,197401154,2,B5321,STEEL INDUSTRIAL CORPORATION LIMITED (ISCOR),STEEL INDUSTRIAL CORPORATION LIMITED ISCOR,,IRAN (ISLAMIC REPUBLIC OF),IRN,C32,,,5718
157,197401155,1,B2465,DEMOCRATIC REPUBLIC OF THE SUDAN,DEMOCRATIC REPUBLIC SUDAN,,SUDAN (THE),SDN,O84,,,630
158,197401156,1,B5593,TRADINVEST BANK,TRADINVEST BANK,,ITALY,ITA,K64,,,413
159,197401156,2,B5643,TRUST COMPANY OF NASSAU LIMITED,TRUST COMPANY NASSAU LIMITED,,TAIWAN,TWN,K66,,,8516
160,197401157,1,B5834,VENEZOLANA DEL NITROGENO CA,VENEZOLANA DEL NITROGENO CA,,CANADA,CAN,,,,10026
161,197401158,1,B6071,ZELJEZARA BORIS KIDRIC,ZELJEZARA BORIS KIDRIC,,YUGOSLAVIA,YUG,,,,3876
162,197401159,1,B6071,ZELJEZARA BORIS KIDRIC,ZELJEZARA BORIS KIDRIC,,YUGOSLAVIA,YUG,,,,3876
163,197401160,1,B0061,"ADELA INVESTMENT COMPANY S.A., LUXEMBOURG",ADELA INVESTMENT COMPANY SA LUXEMBOURG,,LUXEMBOURG,LUX,K64,,,7265
164,197401161,1,B0475,AUTOPISTAS DEL MARE NOSTRUM S.A.,AUTOPISTAS DEL MARE NOSTRUM SA,,SPAIN,ESP,F41,,,8895
165,197401162,1,B2454,REPUBLIC OF BOLIVIA,REPUBLIC BOLIVIA,,BOLIVIA (PLURINATIONAL STATE OF),BOL,O84,,,561
166,197401163,1,B0981,BULGARIAN FOREIGN TRADE BANK,BULGARIAN FOREIGN TRADE BANK,,BULGARIA,BGR,K64,,,173
167,197401164,1,B1025,CAISSE CENTRALE DE CREDIT HOTELIER COMMERCIAL ET INDUSTRIEL,CAISSE CENTRALE DE CREDIT HOTELIER COMMERCIAL ET INDUSTRIEL,,FRANCE,FRA,K64,,,6142
168,197401165,1,B1288,CHINA STEEL CORPORATION,CHINA STEEL CORPORATION,,CHINA,CHN,C32,,,6216
169,197401166,1,B2464,REPUBLIC OF COLOMBIA,REPUBLIC COLOMBIA,,COLOMBIA,COL,O84,,,654
170,197401167,1,B1415,"COMISION FEDERAL DE ELECTRICIDAD, MEXICO",COMISION FEDERAL DE ELECTRICIDAD MEXICO,,MEXICO,MEX,D35,,,10609
171,197401168,1,B1587,CORPORACION MINERA DE BOLIVIA,CORPORACION MINERA DE BOLIVIA,,BOLIVIA (PLURINATIONAL STATE OF),BOL,B07,,,9704
172,197401169,1,B1487,"COMPANHIA SIDERIRGICA DE GUANABARA S.A., BRAZIL",COMPANHIA SIDERIRGICA DE GUANABARA SA BRAZIL,,BRAZIL,BRA,C32,,,9604
173,197401170,1,B1828,"DRAGADOS Y CONSTRUCCIONES, S.A.",DRAGADOS Y CONSTRUCCIONES SA,,SPAIN,ESP,F41,,,9321
